Id 0,0003,-1,1
Id 1,0004,21600,1
Id 2,0006,31575,13
Id 3,0008,4794,14
Id 4,0010,1285,26
Id 5,0011,8271,12
Id 6,0013,1102,1
Id 7,0016,10480,1
Id 8,0017,9330,12
Id 9,0018,1044,49
Id 10,0019,9785,8
Id 11,0020,20860,32
Id 12,0021,106577,16
Id 13,0022,26596,12
Id 14,0023,25777,12
Id 15,0024,162918,52
Id 16,0025,4919,13
Id 17,0027,88010,20
Id 18,0028,78287,10
Id 19,0029,23289,21
Id 20,0031,6506,21
Id 21,0032,32729,24
Id 22,0033,5327,12
Id 23,0034,13802,13
Id 24,0035,9542,1
Id 25,0036,8922,2
Id 26,0038,36668,33
Id 27,0039,31605,6
Id 28,0040,84168,21
Id 29,0041,37133,21
Id 30,0042,102557,48
Id 31,0043,6969,12
Id 32,0044,1910,32
Id 33,0045,5308,8
Id 34,0046,1231,45
Id 35,0047,372,30
Id 36,0049,807,37
Id 37,0050,16390,6
Id 38,0051,2156,37
Id 39,0052,20958,21
Id 40,0053,14432,40
Id 41,0054,22480,40
Id 42,0055,89423,45
Id 43,0057,17901,30
Id 44,0058,29417,37
Id 45,0059,18122,8
Id 46,0060,13327,12
Id 47,0061,15939,8
Id 48,0062,8028,13
Id 49,0063,116479,27
Id 50,0064,39309,10
Id 51,0065,6830,19
Id 52,0067,5564,24
Id 53,0068,68407,10
Id 54,0069,34316,2
Id 55,0070,34891,2
Id 56,0071,722,47
Id 57,0072,35050,33
Id 58,0073,17484,1
Id 59,0074,101803,25
Id 60,0075,97856,3
Id 61,0076,21058,40
Id 62,0077,25009,50
Id 63,0078,4820,14
Id 64,0079,3311,13
Id 65,0080,3948,1
Id 66,0081,20497,6
Id 67,0082,878858,31
Id 68,0084,3630,21
Id 69,0086,32518,8
Id 70,0088,8631,8
Id 71,0092,138689,51
Id 72,0094,23198,1
Id 73,0097,124076,16
Id 74,0099,21882,13
Id 75,0101,170686,16
Id 76,0102,67613,51
Id 77,0103,153823,7
Id 78,0105,167957,20
Id 79,0106,34410,21
Id 80,0107,61736,37
Id 81,0108,2485,1
Id 82,0110,3964,21
Id 83,0111,36237,10
Id 84,0113,7302,53
Id 85,0114,27834,8
Id 86,0115,18982,8
Id 87,0116,82148,21
Id 88,0117,40106,34
Id 89,0119,40204,30
Id 90,0122,44920,13
Id 91,0123,34952,13
Id 92,0124,13393,6
Id 93,0125,46987,12
Id 94,0126,1698,10
Id 95,0127,7980,12
Id 96,0128,9282,13
Id 97,0129,15835,30
Id 98,0130,34484,2
Id 99,0131,35576,8
Id 100,0132,140864,21
Id 101,0134,195883,52
Id 102,0135,27289,24
Id 103,0136,96091,29
Id 104,0140,13943,1
Id 105,0141,87973,44
Id 106,0142,79521,52
Id 107,0143,12525,13
Id 108,0144,288,52
Id 109,0145,49833,8
Id 110,0146,53017,21
Id 111,0149,32159,8
Id 112,0150,313989,27
Id 113,0151,97989,21
Id 114,0152,37768,8
Id 115,0153,20386,12
Id 116,0154,26502,21
Id 117,0155,5466,24
Id 118,0157,3273,44
Id 119,0158,57158,13
Id 120,0159,10932,15
Id 121,0160,42535,6
Id 122,0161,1905,3
Id 123,0162,27433,12
Id 124,0163,115361,21
Id 125,0164,31016,12
Id 126,0165,458651,31
Id 127,0166,23744,10
Id 128,0167,74947,22
Id 129,0168,43390,48
Id 130,0170,36953,8
Id 131,0171,82431,25
Id 132,0172,4811,32
Id 133,0173,40343,51
Id 134,0175,27063,9
Id 135,0176,81493,10
Id 136,0177,297356,31
Id 137,0178,312219,31
Id 138,0179,17741,10
Id 139,0180,41652,12
Id 140,0181,34297,9
Id 141,0182,40454,52
Id 142,0183,29777,1
Id 143,0184,89992,35
Id 144,0185,267055,20
Id 145,0186,5917,1
Id 146,0187,270944,52
Id 147,0190,20090,12
Id 148,0191,46286,1
Id 149,0192,8892,13
Id 150,0193,37565,33
Id 151,0195,8665,15
Id 152,0196,22849,10
Id 153,0198,10334,14
Id 154,0199,74815,8
Id 155,0201,8555,15
Id 156,0202,218793,31
Id 157,0206,193684,27
Id 158,0207,5548,1
Id 159,0208,7631,24
Id 160,0211,9148,11
Id 161,0212,4972,1
Id 162,0213,123017,11
Id 163,0215,1999,44
Id 164,0216,40216,33
Id 165,0217,53502,33
Id 166,0218,6531,6
Id 167,0219,9620,1
Id 168,0222,532757,20
Id 169,0223,12553,23
Id 170,0224,13236,8
Id 171,0225,81431,21
Id 172,0226,11633,12
Id 173,0227,15972,1
Id 174,0228,7340,1
Id 175,0229,36479,13
Id 176,0231,27611,32
Id 177,0232,1862,36
Id 178,0234,32609,13
Id 179,0235,4118,22
Id 180,0236,30918,33
Id 181,0237,39834,12
Id 182,0238,44126,8
Id 183,0240,8431,15
Id 184,0241,75349,44
Id 185,0242,40234,8
Id 186,0243,341490,31
Id 187,0244,159990,10
Id 188,0245,76320,8
Id 189,0247,14547,8
Id 190,0250,16210,1
Id 191,0254,18883,31
Id 192,0264,13127,12
Id 193,0265,48986,12
Id 194,0266,123233,51
Id 195,0267,16016,8
Id 196,0271,45137,8
Id 197,0273,21723,12
Id 198,0274,798700,31
Id 199,0275,12284,12
Id 200,0276,2596,2
Id 201,0277,6242,46
Id 202,0278,31508,13
Id 203,0279,19542,3
Id 204,0281,7055,12
Id 205,0284,30197,13
Id 206,0285,27775,8
Id 207,0286,8714,1
Id 208,0287,7760,17
Id 209,0289,466596,20
Id 210,0291,-1,1
Id 211,0292,28134,48
Id 212,0293,44789,40
Id 213,0294,36874,8
Id 214,0295,106216,21
Id 215,0296,5125,12
Id 216,0297,9609,10
Id 217,0298,45273,3
Id 218,0299,213221,27
Id 219,0300,30572,5
Id 220,0301,37855,2
Id 221,0303,6630,25
Id 222,0304,123069,27
Id 223,0305,3920,17
Id 224,0309,29702,23
Id 225,0310,26245,35
Id 226,0311,57422,10
Id 227,0312,172766,27
Id 228,0313,5555,47
Id 229,0316,57899,21
Id 230,0317,54389,10
Id 231,0318,121387,21
Id 232,0319,14647,46
Id 233,0320,31468,8
Id 234,0324,119201,11
Id 235,0329,28203,1
Id 236,0330,611597,18
Id 237,0331,7630,1
Id 238,0333,61050,8
Id 239,0334,206293,44
Id 240,0336,23759,6
Id 241,0337,28070,23
Id 242,0339,27772,1
Id 243,0341,141178,52
Id 244,0342,101822,30
Id 245,0343,56451,8
Id 246,0344,94185,51
Id 247,0345,36736,33
Id 248,0349,36501,23
Id 249,0350,5708,46
Id 250,0352,7043,8
Id 251,0353,10827,35
Id 252,0354,880,51
Id 253,0355,2008,53
Id 254,0356,21329,13
Id 255,0357,269171,20
Id 256,0358,16676,13
Id 257,0359,17664,13
Id 258,0360,498199,18
Id 259,0361,4249,37
Id 260,0363,6793,9
Id 261,0366,20206,8
Id 262,0368,3485,19
Id 263,0369,50692,12
Id 264,0370,74825,23
Id 265,0371,9826,12
Id 266,0372,60390,52
Id 267,0373,38089,10
Id 268,0377,33972,1
Id 269,0378,15176,12
Id 270,0379,174003,11
Id 271,0381,74452,8
Id 272,0383,35191,21
Id 273,0386,123989,10
Id 274,0387,210819,30
Id 275,0388,249642,44
Id 276,0390,45784,8
Id 277,0392,1625,28
