,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
0022,32257,383286,235582,896421,499784,1362596,1702326,1848372,672685,1709281,1272544,2680482,79364,582476,132285,69239,117081,384234,76420,1705352,947790,200605,766133,1371495,182433,1726161,356929,810768,231308,894260,538865,185458,56912,370023,1705795,310524,1470869,1124141,2176901,237105,974534,135520,588384,116887,1847251,74861,384778,283315,50088,56044,41702,642372,66008,188806,639185,500343,938723,1391363,530025,68301,240978,885881,568882,-1,568882,149148,1359437,156669
0023,31438,382467,234763,895602,498965,1361778,1701507,1847554,671866,1708462,1271726,2679663,78545,581658,131466,68421,116262,383415,75602,1704533,946972,199786,765314,1370676,181614,1725343,356111,809950,230489,893441,538046,184640,56820,369204,1704977,309705,1470051,1123322,2176083,236287,973715,134701,587566,116068,1846432,74768,383960,282497,49270,55225,41610,641554,65915,187988,638367,499524,937905,1390545,529207,68208,240160,885063,568063,-1,568063,148329,1358619,156587
0024,329629,415818,214766,530123,162858,1141596,1481266,1511447,497137,1488221,1104620,2459422,353703,360744,397738,291216,368124,415448,341728,1484292,581493,342415,429207,1005197,254776,1389236,651,536526,126362,527962,481371,332684,370709,190968,1507713,404255,1249809,956216,1839976,214854,798986,404458,251459,367077,1510325,374337,253063,235327,364658,368815,355499,466825,379805,209057,463638,163417,763175,1170303,477969,382098,347015,548956,257207,-1,257207,207746,1140408,134563
0025,24627,372003,216730,823447,467500,1351314,1691044,1816088,661403,1697998,1261262,2669199,68082,571194,121003,36955,105799,372951,65138,1694069,874816,189322,733849,1298521,150149,1693877,324645,778484,199024,821286,527582,174176,57148,337739,1694513,299241,1459587,1112858,2144617,218253,963251,124238,556100,105604,1814967,61023,373496,253248,38806,53794,41938,631090,66244,156522,627903,468059,927441,1380081,518743,68537,208694,853597,550531,-1,550531,116864,1348155,155541
0027,560346,548818,632382,1440566,571841,608865,837755,538566,601498,433740,1109291,571875,551907,552640,628764,494070,1103058,1258944,615011,88010,441440,1446740,611904,559237,1095925,999424,611826,491441,1358471,557975,1450185,571603,623220,628457,836634,1259080,542271,435033,-1,435033,429985,631491,839724,967907,429985,631491,839724,449142,630288,434211,489288,88020,1102919,1442591,126094,,,,,,,,,,,,,
0028,204893,193364,358754,1573100,495405,253411,875255,183113,259749,78287,1241824,216422,196454,197187,273311,626604,1235592,1614610,259558,268102,85987,1579273,258833,547263,1228459,1088825,967492,623975,1491005,546028,1582719,494599,334005,354830,875256,1614746,253057,79579,-1,79579,210657,357863,879362,1100441,210657,357863,879362,155195,356661,111658,621821,268093,1235453,1575125,161661,,,,,,,,,,,,,
0029,145677,134149,430037,1678821,566688,194195,980976,123897,255276,27557,1347546,157206,137238,137971,214095,732325,1341313,1720331,200342,373823,23289,1684995,254360,652985,1334181,1194546,1073213,729696,1596726,651750,1688440,565881,379532,426113,980978,1720467,298583,27723,-1,27723,223710,429146,985083,1206162,223710,429146,985083,223332,427943,176268,727543,373814,1341175,1680846,172233,,,,,,,,,,,,,
0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
